,f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median
0,397.0250514,1473.785095,2544.795821,3815.668818,355.7782575,1415.617735,2541.009603,3825.048312
1,447.18254,1584.94876,2483.625854,3411.926158,397.6694317,1577.125098,2390.474492,3285.354653
2,388.7738331,1505.359932,2525.411662,3816.106304,364.6774734,1509.863245,2402.63894,3772.669477
3,392.3361255,1350.606053,2718.466225,3595.934545,363.3995333,1263.423188,2690.736887,3573.551275
4,387.2517094,1584.13317,2645.582698,4053.889718,327.2275651,1590.247028,2622.765303,4060.831059
5,439.8185906,1713.515421,2814.024502,3884.919352,387.4452341,1745.212655,2894.141613,3988.788176
6,444.1555391,1516.395518,2719.24523,3663.073782,424.6415665,1467.36774,2706.441722,3726.891463
7,351.7688952,1632.822312,2604.126099,3765.521401,315.9831067,1624.105115,2520.425953,3752.658317
8,428.4629525,1469.06627,2457.957791,3376.320944,355.6140278,1393.442039,2387.608418,3320.835875
9,413.4025589,1558.373352,2537.590346,3520.0106,386.703767,1590.064208,2504.778703,3500.111696
10,405.3254946,1542.516583,2540.670478,3791.502533,360.9069802,1509.589312,2505.071114,3951.070408
11,388.1016548,1501.102199,2738.844852,3571.334347,336.7790183,1479.318203,2872.7348,3511.468775
12,474.3515757,1531.884419,2624.332849,3712.346575,451.5042353,1583.814168,2806.561802,3819.759481
13,444.731983,1504.399975,2264.034478,3232.149522,443.6529813,1493.363357,2226.609145,3194.622105
14,381.3479173,1315.391946,2536.200855,3697.581623,367.469369,1147.16553,2455.266337,3609.144445
15,491.492892,1666.660856,2504.501669,3787.778739,436.0976442,1786.736142,2551.890068,3993.137308
