f1_mean,f2_mean,f3_mean,f4_mean,f1_median,f2_median,f3_median,f4_median
399.4874065193709,1547.376668444417,2504.0764233235727,3726.889448712352,362.25690561365735,1556.3187779431858,2550.621331896841,3754.11739072194
467.98500828521867,1536.8659519434798,2466.926598450394,3260.7968797500844,430.3431668987085,1504.6222374699707,2424.839643092707,3209.2443288922486
390.29396856258563,1501.4970643611994,2432.875438815794,3702.1811461448856,376.99157762478296,1511.4178559730394,2308.113265867367,3653.1310739413548
403.64623033186655,1352.5516653997242,2607.5815229243517,3577.678381764423,383.7376325678754,1300.9593481705094,2596.078793196422,3581.3185294456184
327.69464304641684,1655.4981638357622,2710.744651255614,4053.0803813124476,301.97179904749964,1683.080428450977,2607.4927913852475,4033.0921251934874
488.0704218427205,1746.3619701835046,2793.990624053129,3955.7718721086944,424.98136012109796,1751.2747095021473,2850.9612060825852,4046.209753112274
470.1623643059327,1586.2311261138634,2671.651667762525,3566.7255791647517,455.0654533894649,1550.1995349676376,2670.4565856407858,3570.092742916314
415.4338461765559,1468.5350356311044,2428.95322835533,3352.4719194497984,352.4166881547679,1384.8404203782402,2350.552846465971,3307.2137895785736
440.15681009766735,1569.0708040282484,2556.586476719729,3561.048714052996,397.3192373105241,1577.4971532421316,2526.0148944447174,3552.3787260987183
421.3135839023148,1576.7923719086443,2456.7486906920744,3705.144198041645,369.54465165232915,1513.7545158510522,2376.872586898793,3818.9657747044284
403.08441927615513,1529.882351300963,2753.265156024875,3490.1184145107445,365.78889756094287,1500.0822101399049,2806.468059685385,3376.516424486604
507.72166282960086,1518.699313164011,2567.1127800768218,3691.878891128695,464.09268591835666,1514.3646837120514,2649.349194930618,3696.629509851772
465.604280515407,1617.1096219224473,2411.0021397780542,3425.618312320594,462.2491885900353,1605.2839379303464,2410.605685455488,3429.267361447373
397.56515642649055,1403.851244653435,2496.2184432999948,3615.5072431077124,355.7470034590803,1300.3968940360353,2447.1195238823566,3571.5975254993245
523.9531735043486,1698.5446684558297,2547.7273320163094,3784.4107037633407,456.310093382698,1747.7918670071385,2541.6572117201536,3809.0119018620853
